Id,mszoning,bathrooms,bedrooms,finishedsqft,lastsoldyear,lastsoldprice,neighborhood,totalrooms,yearbuilt
488,RL,4,3,1484,2007,175000,NWAmes,7,1971
489,RL,7,3,2414,2006,160000,OldTown,10,1900
490,RM,2,1,630,2009,86000,MeadowV,3,1970
491,RM,1,3,1304,2008,115000,MeadowV,4,1976
492,RL,2,3,1578,2006,133000,NAmes,5,1941
493,RL,5,3,1456,2006,172785,Gilbert,8,2006
494,RL,3,3,1269,2008,155000,NAmes,6,1960
495,RM,2,2,886,2009,91300,OldTown,4,1938
496,C (all),2,2,720,2009,34900,IDOTRR,4,1920
497,RL,6,4,3228,2007,430000,NoRidge,10,1992
498,RL,4,4,1820,2008,184000,BrkSide,8,1925
499,RL,2,3,899,2009,130000,Sawyer,5,1967
500,RL,3,2,912,2007,120000,NAmes,5,1958
501,RM,4,3,1218,2007,113000,BrDale,7,1973
502,FV,4,3,1768,2008,226700,Somerst,7,2005
503,RL,4,2,1214,2007,140000,Edwards,6,1965
504,RL,5,1,1801,2010,289000,Crawfor,6,1959
505,RL,3,3,1322,2009,147000,NPkVill,6,1974
506,RM,6,4,1960,2009,124500,OldTown,10,1952
507,RL,5,3,1911,2006,215000,SawyerW,8,1993
508,FV,2,2,1218,2009,208300,Somerst,4,2009
509,RM,4,3,1378,2008,161000,OldTown,7,1928
510,RL,3,3,1041,2009,124500,NAmes,6,1959
511,RL,4,2,1363,2009,164900,NAmes,6,1951
512,RL,4,2,1368,2006,202665,NridgHt,6,2005
513,RL,2,3,864,2006,129900,NAmes,5,1958
514,RL,2,3,1080,2007,134000,Mitchel,5,1983
515,RL,3,2,789,2007,96500,Crawfor,5,1926
516,RL,6,3,2020,2009,402861,NridgHt,9,2009
517,RL,4,3,2119,2009,158000,NWAmes,7,1972
518,RL,4,3,2344,2009,265000,NoRidge,7,1996
519,RL,4,3,1796,2007,211000,CollgCr,7,1998
520,RL,6,3,2080,2009,234000,Crawfor,9,1926
521,RL,4,3,1294,2008,106250,OldTown,7,1900
522,RL,3,3,1244,2007,150000,NAmes,6,1957
523,RM,4,3,1664,2006,159000,BrkSide,7,1947
525,RL,5,3,2398,2007,315750,NoRidge,8,1996
526,FV,3,3,1266,2006,176000,Somerst,6,2005
527,RL,2,2,928,2007,132000,NAmes,4,1956
528,RL,8,3,2713,2008,446261,NridgHt,11,2008
529,RL,3,2,605,2007,86000,Edwards,5,1920
530,RL,5,4,2515,2007,200624,Crawfor,9,1957
531,RL,2,3,1509,2008,175000,Timber,5,1988
532,RM,3,3,1362,2008,128000,BrkSide,6,1920
533,RL,3,2,827,2010,107500,NAmes,5,1955
534,RL,1,1,334,2007,39300,BrkSide,2,1946
535,RL,3,3,1414,2006,178000,Gilbert,6,2004
536,RL,2,3,1347,2008,107500,Edwards,5,1910
537,RL,5,3,1724,2008,188000,CollgCr,8,1998
538,RL,2,3,864,2008,111250,NAmes,5,1972
539,RL,4,3,1159,2006,158000,Sawyer,7,1968
540,RL,3,3,1601,2010,272000,CollgCr,6,2001
541,RL,6,2,1838,2009,315000,Timber,8,2006
542,RL,4,4,2285,2007,248000,NoRidge,8,2000
543,RL,4,3,1680,2009,213250,NWAmes,7,1998
544,RH,3,1,767,2007,133000,NAmes,4,1998
545,RL,4,3,1496,2006,179665,Gilbert,7,2006
546,RL,5,4,2183,2006,229000,NWAmes,9,1988
547,RL,3,3,1635,2007,210000,BrkSide,6,1923
548,RL,3,2,768,2007,129500,Mitchel,5,1970
549,RM,2,2,825,2008,125000,OldTown,4,1955
550,FV,4,4,2094,2009,263000,Somerst,8,2003
551,RL,2,2,1069,2008,140000,NPkVill,4,1977
552,RM,2,3,928,2008,112500,OldTown,5,1957
553,RL,4,3,1717,2009,255500,NridgHt,7,2006
554,RL,3,2,1126,2009,108000,Edwards,5,1949
555,RL,5,3,2046,2008,284000,NridgHt,8,2003
556,RM,3,2,1048,2006,113000,BrkSide,5,1922
557,RL,4,2,1092,2006,141000,NAmes,6,1957
558,C (all),4,3,1336,2006,108000,IDOTRR,7,1920
559,RL,3,3,1446,2008,175000,Gilbert,6,1996
560,RL,5,2,1557,2006,234000,Blmngtn,7,2003
561,RL,2,3,1392,2010,121500,Sawyer,5,1957
562,RL,4,2,1389,2006,170000,Mitchel,6,1974
563,RL,3,3,996,2008,108000,Edwards,6,1940
564,RL,4,4,1674,2008,185000,Edwards,8,1918
565,RL,5,4,2295,2006,268000,NoRidge,9,1992
566,RL,2,4,1647,2010,128000,SWISU,6,1915
567,RL,7,4,2504,2008,325000,StoneBr,11,2005
568,RL,4,3,1535,2010,214000,NridgHt,7,2004
569,RL,4,1,2132,2009,316600,SawyerW,5,1983
570,RL,2,2,943,2006,135960,NAmes,4,1979
571,RL,4,6,1728,2008,142600,NAmes,10,1965
572,RL,2,2,864,2006,120000,NAmes,4,1959
573,RL,3,3,1692,2009,224500,Timber,6,2009
574,RL,5,3,1430,2007,170000,Gilbert,8,2000
575,RL,2,3,1109,2007,139000,NAmes,5,1971
576,RL,4,2,1216,2008,118500,NAmes,6,1947
577,RL,3,3,1477,2009,145000,SWISU,6,1928
578,RL,3,3,1320,2006,164500,Sawyer,6,1966
579,FV,3,2,1392,2008,146000,Somerst,5,2007
580,RM,3,4,1795,2008,131500,OldTown,7,1954
581,RL,4,3,1429,2007,181900,NAmes,7,1960
582,RL,5,3,2042,2009,253293,NridgHt,8,2008
583,RL,2,3,816,2007,118500,Edwards,5,1990
584,RM,6,3,2775,2008,325000,OldTown,9,1893
585,RM,3,3,1573,2009,133000,BrkSide,6,1935
586,RL,5,2,2028,2006,369900,Timber,7,2005
587,RL,3,2,838,2008,130000,BrkSide,5,1918
588,RL,2,2,860,2009,137000,Sawyer,4,1982
589,RL,4,1,1473,2009,143000,ClearCr,5,1968
590,RM,2,2,935,2008,79500,BrkSide,4,1930
591,RL,3,3,1582,2008,185900,CollgCr,6,2004
592,RL,7,3,2296,2009,451950,NridgHt,10,2008
593,RL,2,2,816,2008,138000,Mitchel,4,1982
594,RM,3,1,848,2009,140000,CollgCr,4,2003
595,RL,2,3,924,2008,110000,CollgCr,5,1975
596,RL,4,3,1826,2006,319000,StoneBr,7,2005
597,RM,4,3,1368,2006,114504,OldTown,7,1910
598,RL,5,2,1402,2007,194201,Blmngtn,7,2006
599,RL,4,3,1647,2006,217500,Crawfor,7,1977
600,RM,3,3,1556,2008,151000,Blueste,6,1980
601,RL,5,3,1904,2006,275000,NridgHt,8,2005
602,RM,3,3,1375,2007,141000,IDOTRR,6,1937
603,RL,5,3,1915,2006,220000,SawyerW,8,1992
604,FV,2,2,1200,2010,151000,Somerst,4,2004
605,RL,3,3,1494,2008,221000,CollgCr,6,2002
606,RL,4,3,1986,2009,205000,NAmes,7,1965
607,RL,3,3,1040,2009,152000,CollgCr,6,1996
608,RL,5,3,2008,2006,225000,Edwards,8,1948
609,RL,6,4,3194,2007,359100,Crawfor,10,1934
610,RL,2,3,1029,2007,118500,Sawyer,5,1961
611,RL,5,3,2153,2009,313000,CollgCr,8,2000
612,RL,3,3,1032,2007,148000,NWAmes,6,1978
613,RL,4,3,1872,2009,261500,CollgCr,7,2001
614,RL,3,3,1120,2007,147000,Mitchel,6,2007
615,RM,2,1,630,2010,75500,MeadowV,3,1972
616,RL,3,3,1054,2010,137500,NAmes,6,1963
617,RL,4,3,1509,2006,183200,Gilbert,7,2002
618,RL,2,2,832,2008,105500,NAmes,4,1954
619,RL,6,3,1828,2007,314813,NridgHt,9,2007
620,RL,6,4,2262,2008,305000,Timber,10,2003
621,RL,3,2,864,2008,67000,Edwards,5,1914
622,RL,5,4,2614,2008,240000,NWAmes,9,1974
623,RL,3,3,980,2009,135000,Sawyer,6,1977
624,FV,2,2,1512,2007,168500,Somerst,4,2000
625,RL,4,4,1790,2006,165150,NWAmes,8,1972
626,RL,2,3,1116,2010,160000,NAmes,5,1962
627,RL,3,3,1422,2007,139900,NAmes,6,1960
628,RL,4,3,1520,2010,153000,NAmes,7,1955
629,RL,4,5,2080,2007,135000,NAmes,9,1969
630,RL,3,3,1350,2008,168500,NAmes,6,1964
631,RM,5,3,1750,2006,124000,OldTown,8,1880
632,RL,4,2,1554,2007,209500,NridgHt,6,2006
633,RL,3,3,1411,2009,82500,NWAmes,6,1977
634,RL,3,3,1056,2007,139400,NAmes,6,1954
635,RL,4,0,1056,2010,144000,OldTown,4,1980
636,RH,6,8,3395,2007,200000,SWISU,14,1914
637,RM,3,1,800,2009,60000,BrkSide,4,1936
638,RM,4,3,1387,2009,93000,OldTown,7,1954
639,RL,2,2,796,2008,85000,Edwards,4,1910
640,RL,6,1,1567,2006,264561,Blmngtn,7,2006
641,RL,5,1,1518,2008,274000,NridgHt,6,2003
642,FV,4,3,1929,2007,226000,Somerst,7,2001
643,RL,5,4,2704,2009,345000,NAmes,9,1972
644,RL,3,4,1620,2007,152000,NWAmes,7,1969
645,FV,5,2,1766,2009,370878,Somerst,7,2009
646,RL,2,3,981,2007,143250,NAmes,5,1971
647,RL,4,3,1048,2008,98300,NAmes,7,1950
648,RL,2,3,1094,2008,155000,Edwards,5,1953
649,RL,3,4,1839,2010,155000,NAmes,7,1966
650,RM,2,1,630,2007,84500,MeadowV,3,1970
651,FV,4,3,1665,2008,205950,Somerst,7,2007
652,RL,3,4,1510,2009,108000,Edwards,7,1940
653,RL,5,2,1716,2009,191000,CollgCr,7,1996
654,RM,4,3,1469,2008,135000,IDOTRR,7,1906
655,RL,5,2,2113,2008,350000,NoRidge,7,1995
656,RM,3,3,1092,2010,88000,BrDale,6,1971
657,RL,2,3,1053,2008,145500,NAmes,5,1959
658,RL,3,3,1502,2008,149000,Crawfor,6,1931
659,RL,3,3,1458,2010,97500,NAmes,6,1948
660,RL,4,3,1486,2009,167000,Edwards,7,1964
661,RL,4,3,1935,2007,197900,NWAmes,7,1976
662,RL,4,4,2448,2009,402000,NoRidge,8,1994
663,RL,3,2,1392,2009,110000,NAmes,5,1968
664,RL,3,3,1181,2008,137500,Edwards,6,1972
665,RL,7,1,2097,2006,423000,Somerst,8,2005
666,RL,4,3,1936,2006,230500,Gilbert,7,2000
667,RL,4,3,2380,2007,129000,NAmes,7,1965
668,RL,4,3,1679,2008,193500,SawyerW,7,1994
669,RL,3,3,1437,2006,168000,Sawyer,6,1956
670,RL,3,2,1180,2006,137500,Crawfor,5,1922
671,RL,4,3,1476,2009,173500,CollgCr,7,2005
672,RH,3,3,1369,2009,103600,Edwards,6,1925
673,RL,3,3,1208,2006,165000,Veenker,6,1977
674,RL,4,3,1839,2007,257500,Crawfor,7,1957
675,RL,2,3,1136,2008,140000,NAmes,5,1965
676,RL,4,3,1441,2009,148500,NPkVill,7,1978
677,RM,4,4,1774,2006,87000,OldTown,8,1900
678,RL,3,2,792,2009,109500,OldTown,5,1924
679,RL,4,3,2046,2009,372500,StoneBr,7,2008
680,RL,2,3,988,2007,128500,Sawyer,5,1961
681,RL,3,2,923,2010,143000,SawyerW,5,1980
682,RH,3,3,1520,2009,159434,SWISU,6,1932
683,RL,4,2,1291,2008,173000,ClearCr,6,1996
684,RL,4,3,1668,2007,285000,CollgCr,7,2002
685,RL,3,4,1839,2010,221000,NoRidge,7,1998
686,RL,3,3,2090,2007,207500,StoneBr,6,1984
687,FV,4,3,1761,2007,227875,Somerst,7,2007
688,FV,2,2,1102,2007,148800,Somerst,4,2004
689,RL,5,2,1419,2007,392000,StoneBr,7,2007
690,RL,4,2,1362,2007,194700,NridgHt,6,2005
691,RM,2,1,848,2008,141000,CollgCr,3,2004
693,RL,5,4,2519,2006,335000,Timber,9,1989
694,RL,2,2,1073,2006,108480,OldTown,4,1921
695,RM,2,3,1539,2009,141500,BrkSide,5,1936
696,RL,3,2,1137,2006,176000,Timber,5,1987
697,RM,2,2,616,2006,89000,BrkSide,4,1921
698,RL,4,2,1148,2006,123500,Edwards,6,1952
699,RL,2,3,894,2010,138500,Sawyer,5,1965
700,FV,3,2,1391,2008,196000,Somerst,5,2004
701,RL,4,3,1800,2006,312500,Timber,7,2002
702,RL,3,3,1164,2006,140000,NWAmes,6,1969
703,RL,6,4,2576,2006,361919,StoneBr,10,2006
704,RM,4,4,1812,2010,140000,OldTown,8,1900
705,RL,4,3,1484,2010,213000,CollgCr,7,2004
706,RM,4,3,1092,2010,55000,IDOTRR,7,1930
707,RL,3,2,1824,2007,302000,ClearCr,5,1971
708,RL,4,2,1324,2009,254000,NridgHt,6,2006
709,RL,5,3,1456,2007,179540,Gilbert,8,2007
710,RL,3,3,904,2008,109900,Sawyer,6,1966
711,RL,3,2,729,2008,52000,BrkSide,5,1935
712,C (all),5,2,1178,2010,102776,IDOTRR,7,1900
713,RL,3,2,1228,2008,189000,StoneBr,5,1988
714,RL,3,3,960,2006,129000,BrkSide,6,1970
715,RL,3,3,1479,2010,130500,Sawyer,6,1976
716,RL,4,3,1350,2009,165000,NWAmes,7,1974
717,RM,5,3,2554,2007,159500,OldTown,8,1890
718,RL,2,3,1178,2008,157000,NWAmes,5,1973
719,RL,6,3,2418,2008,341000,NoRidge,9,1993
720,RL,2,3,971,2006,128500,CollgCr,5,1969
721,RL,3,2,1742,2006,275000,StoneBr,5,1985
722,RM,2,1,848,2010,143000,CollgCr,3,2004
723,RL,2,3,864,2009,124500,NAmes,5,1970
724,RL,3,4,1470,2008,135000,Edwards,7,1954
725,RL,5,3,1698,2009,320000,Edwards,8,2007
726,RL,2,3,864,2009,120500,NAmes,5,1970
727,RL,2,3,1680,2009,222000,Crawfor,5,1988
728,RL,4,2,1232,2009,194500,CollgCr,6,2007
729,RL,5,4,1776,2009,110000,NAmes,9,1958
730,RM,3,2,1208,2009,103000,IDOTRR,5,1925
731,RL,3,2,1616,2010,236500,StoneBr,5,1995
732,RL,3,3,1146,2007,187500,Timber,6,2003
733,RL,5,3,2031,2008,222500,CollgCr,8,1998
734,RL,3,3,1144,2009,131400,Sawyer,6,1961
735,RL,3,3,948,2007,108000,Sawyer,6,1968
736,RM,4,2,1768,2006,163000,OldTown,6,1914
737,RL,4,2,1040,2006,93500,NAmes,6,1950
738,RL,5,3,1801,2006,239900,Gilbert,8,2005
739,RL,2,3,1200,2009,179000,Edwards,5,1987
740,RL,4,3,1728,2009,190000,CollgCr,7,2004
741,RM,5,2,1432,2007,132000,OldTown,7,1910
742,RL,2,3,912,2008,142000,Sawyer,5,1961
743,RL,3,3,1349,2007,179000,SawyerW,6,2000
744,RL,3,3,1464,2009,175000,Sawyer,6,1963
745,RL,3,2,1337,2008,180000,StoneBr,5,1993
746,RL,7,4,2715,2008,299800,NWAmes,11,1976
747,RL,4,4,2256,2009,236000,Gilbert,8,2000
748,RM,4,4,2640,2009,265979,OldTown,8,1880
749,RL,4,3,1720,2010,260400,NoRidge,7,1996
750,RL,5,4,1529,2009,98000,Edwards,9,1945
751,RM,4,3,1140,2010,96500,OldTown,7,1910
752,RL,3,3,1320,2007,162000,Gilbert,6,2003
753,RL,3,3,1494,2006,217000,CollgCr,6,1997
754,RL,5,3,2098,2006,275500,NridgHt,8,2005
755,RL,2,3,1026,2009,156000,NAmes,5,1969
756,FV,3,3,1471,2009,172500,Somerst,6,1999
757,RL,4,3,1768,2009,212000,CollgCr,7,2007
758,RL,3,3,1386,2010,158900,Sawyer,6,1978
759,FV,3,3,1501,2008,179400,Somerst,6,1999
760,RL,5,4,2531,2007,290000,NoRidge,9,1995
761,RL,3,2,864,2009,127500,NAmes,5,1959
762,RM,3,2,1301,2009,100000,BrkSide,5,1924
763,FV,4,3,1547,2010,215200,Somerst,7,2009
764,RL,5,3,2365,2009,337000,NoRidge,8,1999
765,RL,4,2,1494,2006,270000,Veenker,6,1995
766,RL,4,2,1506,2008,264132,Somerst,6,2008
767,RL,4,3,1714,2010,196500,NWAmes,7,1988
768,RL,3,4,1750,2008,160000,Mitchel,7,1940
769,RL,5,3,1836,2006,216837,CollgCr,8,2004
770,RL,8,4,3279,2010,538000,StoneBr,12,2003
771,RL,3,2,858,2009,134900,Sawyer,5,1982
772,RL,4,2,1220,2006,102000,Edwards,6,1951
773,RL,3,3,1117,2010,107000,Edwards,6,1976
774,RL,3,2,912,2007,114500,NAmes,5,1958
775,RL,6,3,1973,2007,395000,NridgHt,9,2006
776,RM,3,2,1204,2009,162000,Mitchel,5,1998
777,RL,4,3,1614,2006,221500,CollgCr,7,2005
778,RL,2,3,894,2006,142500,Sawyer,5,1974
779,RH,6,4,2020,2007,144000,SawyerW,10,1977
780,RL,2,2,1004,2006,135000,Mitchel,4,1977
781,RL,3,3,1253,2007,176000,Gilbert,6,1995
782,RL,4,3,1603,2006,175900,SawyerW,7,1992
783,RL,3,3,1430,2009,187100,CollgCr,6,2001
784,RL,3,1,1110,2009,165500,Mitchel,4,1978
785,RM,6,3,1484,2008,128000,OldTown,9,1914
786,RL,4,3,1342,2009,161500,NWAmes,7,1967
787,RM,3,4,1652,2010,139000,OldTown,7,1915
788,RL,4,4,2084,2010,233000,SawyerW,8,2004
789,RM,2,2,901,2008,107900,OldTown,4,1954
790,RL,4,5,2087,2007,187500,ClearCr,9,1966
791,RL,3,2,1145,2009,160200,Blmngtn,5,2005
792,RL,2,3,1062,2007,146800,Mitchel,5,1976
793,RL,5,3,2013,2007,269790,NoRidge,8,1996
794,RL,4,3,1496,2007,225000,Somerst,7,2007
795,RL,4,3,1895,2008,194500,Gilbert,7,1994
796,RL,4,3,1564,2010,171000,SawyerW,7,1980
797,RL,4,3,1285,2007,143500,Sawyer,7,1977
798,RL,2,2,773,2008,110000,NAmes,4,1953
799,RL,7,4,3140,2009,485000,NridgHt,11,2008
800,RL,4,3,1768,2007,175000,SWISU,7,1937
801,RL,4,4,1688,2008,200000,ClearCr,8,1997
802,RM,3,2,1196,2007,109900,IDOTRR,5,1916
803,RL,4,3,1456,2008,189000,CollgCr,7,2005
804,RL,8,4,2822,2009,582933,NridgHt,12,2008
805,RL,3,2,1128,2006,118000,NAmes,5,1954
806,RL,3,3,1428,2008,227680,Somerst,6,2008
807,RL,3,3,980,2006,135500,NAmes,6,1967
808,RL,3,3,1576,2009,223500,BrkSide,6,1923
809,RL,3,3,1086,2006,159950,NAmes,6,1966
810,RM,9,2,2138,2009,106000,OldTown,11,1898
811,RL,2,3,1309,2006,181000,NWAmes,5,1974
812,RM,3,1,848,2008,144500,CollgCr,4,2004
813,C (all),2,2,1044,2010,55993,IDOTRR,4,1952
814,RL,3,4,1442,2007,157900,NAmes,7,1958
815,RL,4,3,1250,2006,116000,Edwards,7,1918
816,RL,3,3,1661,2010,224900,CollgCr,6,1998
817,RL,2,2,1008,2006,137000,NAmes,4,1954
818,RL,4,3,1689,2008,271000,Mitchel,7,2002
819,RL,3,3,1052,2010,155000,ClearCr,6,1971
820,RL,4,2,1358,2010,224000,NridgHt,6,2009
821,RL,3,3,1640,2008,183000,CollgCr,6,2003
822,RM,2,2,936,2009,93000,OldTown,4,1953
823,RL,4,3,1733,2007,225000,Gilbert,7,2003
824,RL,4,3,1489,2009,139500,SWISU,7,1940
825,FV,4,3,1489,2006,232600,Somerst,7,2006
826,RL,5,2,2084,2008,385000,NridgHt,7,2007
827,RM,3,2,784,2008,109500,BrkSide,5,1924
828,RL,3,3,1434,2009,189000,SawyerW,6,2001
829,RL,4,3,2126,2009,185000,ClearCr,7,1967
830,FV,2,2,1223,2006,147400,Somerst,4,2005
831,RL,3,3,1392,2008,166000,NAmes,6,1957
832,FV,2,2,1200,2006,151000,Somerst,4,2005
833,RL,4,3,1829,2010,237000,CollgCr,7,2003
834,RL,3,3,1516,2009,167000,NAmes,6,1964
835,RL,3,3,1144,2008,139950,NAmes,6,1961
836,RL,2,2,1067,2010,128000,Sawyer,4,1950
837,RM,3,2,1559,2007,153500,OldTown,5,1948
838,RM,3,2,987,2008,100000,BrDale,5,1973
839,RL,3,3,1099,2008,144000,CollgCr,6,1995
840,RL,3,3,1200,2008,130500,Edwards,6,1946
841,RH,3,4,1482,2008,140000,SWISU,7,1925
842,RM,5,3,1539,2008,157500,OldTown,8,1904
843,RL,3,3,1165,2008,174900,NAmes,6,1966
844,RL,4,6,1800,2007,141000,NAmes,10,1961
845,RM,3,4,1416,2008,153900,OldTown,7,1915
846,RL,3,3,1701,2007,171000,Sawyer,6,1975
847,RL,4,3,1775,2009,213000,SawyerW,7,1993
848,RL,2,3,864,2009,133500,CollgCr,5,1972
849,RL,5,5,2358,2008,240000,ClearCr,10,1908
850,RL,4,3,1855,2007,187000,Veenker,7,1976
851,RM,2,1,848,2007,131500,CollgCr,3,2003
852,RL,5,2,1456,2006,215000,Blmngtn,7,2003
853,RL,3,4,1646,2007,164000,Crawfor,7,1941
854,RL,4,3,1445,2009,158000,NAmes,7,1964
855,RL,3,3,1779,2006,170000,Sawyer,6,1955
856,RL,3,3,1040,2010,127000,Sawyer,6,1962
857,RL,2,3,1026,2008,147000,CollgCr,5,1978
858,RL,3,3,1481,2009,174000,Gilbert,6,1994
859,RL,3,3,1370,2009,152000,NWAmes,6,1976
860,RL,5,4,2654,2006,250000,NWAmes,9,1968
861,RL,4,3,1426,2007,189950,Crawfor,7,1918
862,RL,3,3,1039,2010,131500,Sawyer,6,1965
863,RL,3,3,1097,2010,152000,SawyerW,6,1984
864,RL,3,3,1148,2009,132500,NAmes,6,1959
865,FV,3,3,1372,2008,250580,Somerst,6,2007
866,RL,2,3,1002,2009,148500,NAmes,5,1970
867,RL,3,3,1646,2007,248900,Timber,6,2006
868,RL,2,3,1120,2007,129000,Sawyer,5,1961
869,RL,5,2,2320,2006,169000,Gilbert,7,1948
870,RL,5,3,1949,2010,236000,SawyerW,8,1993
871,RL,3,2,894,2009,109500,NAmes,5,1962
872,RL,4,3,1682,2010,200500,CollgCr,7,1998
873,RL,2,3,910,2008,116000,NAmes,5,1953
874,RL,3,3,1268,2009,133000,NAmes,6,1949
875,RM,2,3,1131,2009,66500,OldTown,5,1941
876,FV,7,4,2610,2007,303477,Somerst,11,2007
877,RL,2,3,1040,2007,132250,Mitchel,5,1963
878,RL,6,4,2224,2009,350000,NridgHt,10,2004
879,RL,3,3,1155,2010,148000,Sawyer,6,1961
880,RL,3,3,864,2009,136500,CollgCr,6,1978
881,RL,3,2,1090,2007,157000,Edwards,5,2005
882,RL,4,3,1717,2007,187500,Timber,7,1990
883,RL,4,3,1593,2009,178000,Gilbert,7,1992
884,RL,5,5,2230,2006,118500,SWISU,10,1912
885,RL,2,3,892,2009,100000,NAmes,5,1967
886,FV,3,2,1709,2008,328900,Somerst,5,1999
887,RL,4,4,1712,2006,145000,NAmes,8,1959
888,RL,5,3,1393,2008,135500,Edwards,8,1955
889,RL,4,4,2217,2007,268000,NAmes,8,1970
890,RL,4,2,1505,2009,149500,NAmes,6,1953
891,RL,3,3,924,2007,122900,NAmes,6,1949
892,RL,4,3,1683,2009,172500,Sawyer,7,1978
893,RL,3,3,1068,2006,154500,Sawyer,6,1963
894,RL,3,3,1383,2008,165000,Sawyer,6,1954
895,RL,4,4,1535,2009,118858,SawyerW,8,1979
896,RL,4,4,1796,2008,140000,NAmes,8,1963
897,RM,4,2,951,2006,106500,IDOTRR,6,1936
898,RL,6,6,2240,2009,142953,SawyerW,12,1979
899,RL,9,2,2364,2010,611657,NridgHt,11,2009
900,RL,3,3,1236,2006,135000,Sawyer,6,1961
901,RL,2,2,858,2007,110000,NAmes,4,1971
902,RL,3,2,1306,2009,153000,NAmes,5,1957
903,RL,5,3,1509,2006,180000,Gilbert,8,2003
904,RL,4,3,1670,2006,240000,Gilbert,7,2006
905,RL,3,3,902,2007,125500,Sawyer,6,1967
906,RL,3,3,1063,2010,128000,NAmes,6,1954
907,RL,5,3,1636,2007,255000,Somerst,8,2006
908,RL,3,3,2057,2006,250000,Crawfor,6,1936
909,RL,3,2,902,2006,131000,Mitchel,5,1983
910,RL,5,3,1484,2009,174000,Gilbert,8,2005
911,RL,7,5,2274,2010,154300,NAmes,12,1960
912,RL,2,3,1268,2009,143500,CollgCr,5,1977
913,RM,3,3,1015,2006,88000,BrkSide,6,1925
914,RH,4,4,2002,2007,145000,Crawfor,8,1949
915,FV,2,2,1224,2009,173733,Somerst,4,2009
916,RM,3,3,1092,2007,75000,MeadowV,6,1970
917,C (all),3,1,480,2006,35311,IDOTRR,4,1949
918,RL,3,3,1229,2009,135000,Edwards,6,1956
919,RL,4,4,2127,2007,238000,SawyerW,8,1991
920,RL,3,3,1414,2008,176500,NAmes,6,1958
921,RL,4,3,1721,2007,201000,SawyerW,7,1994
922,RL,5,4,2200,2008,145900,Edwards,9,1900
923,RL,3,3,1316,2006,169990,Gilbert,6,2005
924,RL,3,2,1617,2008,193000,SawyerW,5,1993
925,RL,4,3,1686,2006,207500,NWAmes,7,1980
926,RL,3,3,1126,2008,175000,NWAmes,6,1977
927,RL,6,4,2374,2007,285000,NridgHt,10,2003
928,RL,5,4,1978,2008,176000,NWAmes,9,1968
929,RL,4,3,1788,2009,236500,CollgCr,7,2001
930,RL,4,4,2236,2006,222000,Gilbert,8,1997
931,RL,4,3,1466,2009,201000,Timber,7,2007
932,RL,3,2,925,2009,117500,NAmes,5,1965
933,RL,5,3,1905,2007,320000,Somerst,8,2006
934,RL,3,3,1500,2009,190000,CollgCr,6,2004
935,RL,5,4,2069,2008,242000,NAmes,9,1960
936,RL,4,1,747,2006,79900,BrkSide,5,1926
937,RL,3,2,1200,2009,184900,SawyerW,5,2003
938,RL,5,3,1971,2009,253000,Somerst,8,2005
939,RL,4,3,1962,2006,239799,CollgCr,7,2006
940,RL,6,4,2403,2010,244400,ClearCr,10,1940
941,RL,4,4,1728,2006,150900,Mitchel,8,1976
942,RL,5,3,2060,2009,214000,Gilbert,8,1999
943,RL,4,4,1440,2007,150000,Edwards,8,1977
944,RL,4,4,1632,2007,143000,Mitchel,8,1967
945,RL,4,3,1344,2009,137500,Timber,7,1958
946,RM,5,2,1869,2009,124900,OldTown,7,1890
947,RL,3,3,1144,2006,143000,NAmes,6,1959
948,RL,6,3,1629,2007,270000,Timber,9,2002
949,RL,4,3,1776,2006,192500,CollgCr,7,2002
950,RL,2,3,1381,2010,197500,NWAmes,5,1972
951,RL,2,3,864,2007,129000,NAmes,5,1950
952,RH,3,3,965,2006,119900,SawyerW,6,1965
953,RL,3,2,768,2009,133900,CollgCr,5,1972
954,RL,3,4,1968,2008,172000,Mitchel,7,1969
955,RL,0,4,980,2006,127500,Edwards,4,1975
956,RH,4,4,1958,2007,145000,Crawfor,8,1946
957,RM,3,2,1229,2009,124000,Blueste,5,1980
958,RL,3,3,1057,2007,132000,Sawyer,6,1962
959,RL,3,3,1337,2007,185000,CollgCr,6,2003
960,FV,3,3,1416,2010,155000,Somerst,6,1999
961,RL,2,2,858,2010,116500,BrkSide,4,1958
962,RL,7,4,2872,2008,272000,NWAmes,11,1977
963,RL,4,3,1548,2007,155000,NPkVill,7,1976
964,RL,5,2,1800,2009,239000,CollgCr,7,2007
965,RL,4,4,1894,2010,214900,Timber,8,2002
966,RL,5,3,1484,2007,178900,Gilbert,8,2005
967,RL,5,2,1308,2009,160000,Crawfor,7,1940
968,RL,3,3,1098,2008,135000,NAmes,6,1955
969,RM,4,2,968,2009,37900,OldTown,6,1910
970,RL,4,2,1095,2006,140000,NAmes,6,1958
971,RL,2,4,1192,2006,135000,NAmes,6,1949
972,RL,4,2,1626,2009,173000,NridgHt,6,2003
973,RL,3,2,918,2010,99500,SawyerW,5,1979
974,FV,3,3,1428,2008,182000,Somerst,6,2007
975,RL,5,3,2019,2009,167500,BrkSide,8,1910
976,FV,3,3,1382,2006,165000,Somerst,6,2000
977,RL,2,2,869,2006,85500,BrkSide,4,1923
978,FV,3,1,1241,2007,199900,Somerst,4,2006
979,RL,2,3,894,2007,110000,Edwards,5,1954
